"","PW005","PW012","PW013","PW014","PW015","PW016","PW017","PW018","PW019","PW021","PW023","PW024","PW025","PW026","PW027","PW028","PW030","PW031","PW032","PW034","PW036","PW037","PW038","PW039","PW040","PW041","PW043","PW044","PW045","PW046","PW047","PW048","PW049","PW050","PW051","PW052","PW054","PW055","PW056","PW062","PW063","PW064","PW066","PW067","PW068","PW069","PW070","PW079","PW080","PW081","PW082","PW083","PW084","PW085","PW086","PW087","PW088","PW089","PW090","PW091","PW092","PW093","PW094","PW095","PW096"
"Acinteobacter",0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,444,20,0,0,0,4,0,0,4,0,0,0,0
"Actinomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloprevotella",0,0,725,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,57,5,0,1,0,0,0,29,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"Aquabacterium",0,0,0,5,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,3,0,0,2,0,1,0,4,0,0,0,1,2,563,0,0,0,0,34,0,5,4,0,0,0,0
"Bacillus",3,670,0,5,3,4,0,0,0,0,0,3,0,0,2,2,888,1748,518,0,416,897,524,781,382,760,649,704,0,3,0,1,2,1,3,0,0,6,0,0,0,1,0,0,0,3,11,2,0,3,2,2,0,8,1,9,1,1,1,10,2,0,10,2,1
"Burkholderia",0,0,474,0,4,34,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,1,0,0,0,0,0
"Clostridium",2,0,11,0,1,1,0,32,0,3,0,6,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,1,0,5,0,1,5,15,15,107,4,0,5,38,1,3,1,6,0,6,21,0,0,5,3,0,12,1,0,25,0,3
"Corynebacterium",0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,148,0,0,0,0,4,28,9,2,15,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium",2,0,0,114,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,55,50,31,83,57,7,29,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Haemophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,85,47,98,123,0,58,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus ",0,5,0,10,0,12,1,0,3,0,0,807,1,20,0,0,4,0,0,27,0,1,8,0,2,1,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"Lactococcus",125,0,11,39,0,0,14,619,0,3,0,0,0,0,1,6,7,0,0,5,0,0,0,0,0,0,1,0,0,26,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0
"Luteibacter",0,1,518,0,56,16,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,31,20,5,0,8,12,0,1,9,0,0,0,0,0
"Neisseria",0,0,0,0,0,0,0,18,0,0,0,0,1,4,0,0,0,3,0,0,0,0,73,121,93,134,150,1,52,6,25,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3
"Order: Burkholderiales",485,57,150,244,376,75,143,146,116,104,290,201,86,44,27,21,28,53,34,58,7,43,16,46,19,24,13,12,6,13,11,26,4,7,7,0,0,0,3,0,0,0,0,0,0,4,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"Other",4851,2133,5350,6665,5333,1530,2566,4798,3126,2097,3767,1655,2241,1716,850,664,1273,2604,1076,2197,663,1153,2812,3136,2731,3624,4042,1171,2711,2248,2171,2569,2440,1142,754,2648,593,600,387,497,458,612,1121,348,427,367,1202,442,478,680,586,883,3177,1027,1355,743,518,1031,420,780,817,1430,1238,570,310
"Pseudomonas",0,0,204,8,12,4,0,0,0,1,0,0,0,0,0,1,1,0,0,10,0,0,0,0,2,0,0,0,18,0,0,0,0,6,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,33,2,19,75,2,99,5,62,10,109,42,7,0,0,0,0
"Rhizobium",0,9,12,1,0,0,126,242,121,139,0,0,29,104,47,31,6,13,8,99,9,23,2,8,5,7,13,0,1,0,0,0,0,0,0,2,2,0,0,136,118,58,606,86,123,116,369,0,1,0,0,1,10,1,0,0,0,5,0,6,0,0,11,0,0
"Rickettsia",4707,7307,2460,3087,4382,8503,7315,4272,6801,7830,6117,7510,7815,8279,9248,9450,7975,5317,8546,7759,9086,8064,6642,5927,6861,5449,5119,8278,7235,7863,7964,7555,7712,9019,9409,7490,9571,9571,9791,9531,9589,9480,8346,9743,9586,9683,8508,9736,9700,9452,9580,9226,5573,9098,8726,9413,9574,9085,9651,9301,9347,8752,8895,9610,9865
"Serratia",0,0,159,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Sphingomonas",7,0,1,4,0,0,17,44,14,5,2,0,2,10,1,3,0,0,0,27,0,0,1,0,0,0,0,2,0,0,0,0,1,5,5,0,0,1,0,10,2,7,0,1,45,4,50,1,0,0,0,8,141,0,0,0,0,6,0,0,0,0,2,0,0
"Taibaiella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,2,0,0,0,0,0,0,0,0
"Yersinia",0,0,107,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
